1976	5	29	12	23	18.7000000000000	98.9500000000000	24.5700000000000	8	6.66090655378316	323	80	-172	232	82	-10	13	7	77	13	1	98
1976	5	29	14	0	18.5000000000000	98.7100000000000	24.5300000000000	10	5.98945416403175	242	88	0	152	90	178	1	17	88	328	1	107
1976	5	31	5	8	28.5000000000000	98.6400000000000	24.3400000000000	14	6.07812506960264	342	72	-169	249	80	-18	20	25	69	40	5	117
1976	7	21	15	10	45.6000000000000	98.7000000000000	24.7800000000000	9	6.13444346017435	338	88	-178	248	88	-2	3	23	87	33	1	113
1976	7	27	19	42	54.6000000000000	117.980000000000	39.5700000000000	23	7.56498651270963	229	43	-163	126	79	-49	41	75	40	297	22	6
1976	7	28	10	45	35.2000000000000	118.400000000000	39.6600000000000	26	6.97258868442925	72	44	-110	279	49	-71	76	76	14	87	3	176
1976	7	28	18	24	28.3000000000000	72.7900000000000	39.2900000000000	50	5.92333558105583	306	41	-38	66	67	-124	55	113	31	82	15	1
1976	8	12	23	26	46.2000000000000	97.0700000000000	26.6800000000000	27	5.87169785287600	148	45	93	323	45	87	0	55	2	325	88	154
1976	8	16	14	6	45.9000000000000	104.160000000000	32.7500000000000	16	6.67705980686616	29	48	122	166	51	60	2	97	23	186	67	12
1976	8	21	21	49	54.2000000000000	104.250000000000	32.5700000000000	33	6.26795309871547	198	40	113	349	54	72	7	91	15	0	74	28
1976	8	23	3	30	7.60000000000000	104.180000000000	32.4900000000000	33	6.37850522112105	172	45	72	16	48	107	2	94	12	185	78	177
1976	11	6	18	4	8.90000000000000	101.050000000000	27.6000000000000	33	6.31073425576604	19	66	-6	111	84	-156	21	157	66	123	12	63
1976	11	15	13	53	0.600000000000000	117.690000000000	39.4400000000000	15	6.36032249787661	318	56	-9	53	83	-145	29	101	55	63	18	1
1976	11	27	21	42	12.2000000000000	71.0400000000000	36.5100000000000	190	5.89266210922083	294	41	139	57	65	57	14	170	30	73	57	102
1976	12	14	16	6	44.4000000000000	130.700000000000	28.2900000000000	41	6.37976131703742	230	33	-114	78	61	-75	70	20	13	251	15	157
1977	1	1	21	39	41.3000000000000	91.0100000000000	38.1500000000000	27	6.04022402497671	322	37	127	98	61	65	13	26	21	111	65	145
1977	1	7	19	36	46.9000000000000	120.280000000000	21.1700000000000	33	5.66255448372947	194	29	-62	343	65	-105	67	45	13	349	18	84
1977	1	19	0	46	18.3000000000000	95.7000000000000	37.0200000000000	33	5.84355867104733	289	35	68	135	58	105	12	35	12	307	73	82
1977	1	31	14	26	14.8000000000000	70.8500000000000	40.0400000000000	20	5.99185691354430	296	35	99	104	55	83	10	19	5	108	79	170
1977	2	3	21	31	48.9000000000000	130.930000000000	42.9700000000000	506	5.17649237746476	52	53	173	147	84	37	21	94	52	154	30	16
1977	2	12	4	49	16	71.2800000000000	36.9900000000000	98	5.13438288880695	265	32	56	123	64	109	17	20	17	295	66	67
1977	2	19	6	15	25	78.4200000000000	31.7900000000000	40	5.05507130181366	346	37	-118	199	58	-71	70	153	16	9	11	96
1977	3	9	14	27	53.6000000000000	130.880000000000	41.6100000000000	528	6.88983485333494	58	20	132	194	75	76	29	115	13	198	58	86
1977	4	13	11	33	51.8000000000000	70.9100000000000	36.4700000000000	196	5.69499315300834	244	15	113	40	76	84	31	135	6	41	59	121
